DATE	TIME	Open	High	Low	Close	TICKVOL	VOL	SPREAD
2019.12.10	12:25:00	110890	110985	110870	110960	12869	58572	5
2019.12.10	12:30:00	110955	110970	110815	110835	16912	71337	5
2019.12.10	12:35:00	110840	110845	110720	110750	15218	63462	5
2019.12.10	12:40:00	110745	110780	110625	110650	17273	78557	5
2019.12.10	12:45:00	110650	110685	110555	110595	16655	72386	5
2019.12.10	12:50:00	110590	110615	110555	110560	8130	36109	5
2019.12.10	12:55:00	110565	110640	110540	110605	12880	53614	5
2019.12.10	13:00:00	110610	110665	110360	110390	35399	170762	5
2019.12.10	13:05:00	110390	110500	110380	110455	14924	68931	5
2019.12.10	13:10:00	110455	110475	110280	110310	21160	96560	5
2019.12.10	13:15:00	110315	110375	110305	110330	10669	50455	5
2019.12.10	13:20:00	110330	110380	110310	110335	7302	32610	5
2019.12.10	13:25:00	110335	110405	110335	110390	7617	36386	5
2019.12.10	13:30:00	110390	110450	110375	110430	10628	49738	5
2019.12.10	13:35:00	110435	110525	110425	110495	12320	54467	5
2019.12.10	13:40:00	110490	110520	110455	110465	7071	32803	5
2019.12.10	13:45:00	110470	110520	110435	110475	8926	41296	5
2019.12.10	13:50:00	110480	110485	110425	110445	6174	25949	5
2019.12.10	13:55:00	110450	110455	110400	110430	8304	35084	5
2019.12.10	14:00:00	110430	110495	110385	110485	9643	36934	5
2019.12.10	14:05:00	110480	110490	110415	110435	8005	34806	5
2019.12.10	14:10:00	110435	110455	110410	110425	4192	19700	5
2019.12.10	14:15:00	110425	110425	110365	110415	10079	42384	5
2019.12.10	14:20:00	110410	110430	110325	110345	10119	45582	5
2019.12.10	14:25:00	110345	110345	110255	110290	17636	78741	5
2019.12.10	14:30:00	110285	110365	110280	110340	10397	46311	5
2019.12.10	14:35:00	110340	110365	110290	110330	7836	35721	5
2019.12.10	14:40:00	110325	110345	110280	110290	6378	29545	5
2019.12.10	14:45:00	110285	110325	110260	110280	8345	38560	5
2019.12.10	14:50:00	110275	110320	110270	110275	5724	26260	5
2019.12.10	14:55:00	110275	110490	110260	110490	20653	90455	5
2019.12.10	15:00:00	110485	110560	110450	110460	19174	80406	5
2019.12.10	15:05:00	110465	110505	110430	110475	9646	44058	5
